Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
rho.lf[4,3]           -0.109   0.186  -0.453 -0.239 -0.115  0.016  0.266 1.001  4000
rho.lf[5,3]           -0.171   0.181  -0.512 -0.298 -0.174 -0.047  0.189 1.001  4000
rho.lf[1,4]            0.244   0.174  -0.117  0.130  0.253  0.364  0.560 1.001  3500
rho.lf[2,4]           -0.060   0.185  -0.409 -0.187 -0.063  0.066  0.304 1.001  4000
rho.lf[3,4]           -0.109   0.186  -0.453 -0.239 -0.115  0.016  0.266 1.001  4000
rho.lf[4,4]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[5,4]            0.405   0.159   0.054  0.309  0.421  0.517  0.672 1.001  4000
rho.lf[1,5]            0.251   0.173  -0.104  0.138  0.257  0.373  0.560 1.001  4000
rho.lf[2,5]            0.210   0.178  -0.158  0.091  0.220  0.339  0.530 1.001  4000
rho.lf[3,5]           -0.171   0.181  -0.512 -0.298 -0.174 -0.047  0.189 1.001  4000
rho.lf[4,5]            0.405   0.159   0.054  0.309  0.421  0.517  0.672 1.001  4000
rho.lf[5,5]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[1,1]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[2,1]            0.234   0.250  -0.286  0.063  0.250  0.418  0.669 1.001  4000
rho.ph[3,1]            0.018   0.263  -0.500 -0.166  0.020  0.209  0.514 1.001  4000
rho.ph[4,1]           -0.196   0.268  -0.665 -0.397 -0.212 -0.013  0.352 1.001  4000
rho.ph[1,2]            0.234   0.250  -0.286  0.063  0.250  0.418  0.669 1.001  4000
rho.ph[2,2]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[3,2]            0.363   0.224  -0.119  0.219  0.382  0.528  0.740 1.002  2600
rho.ph[4,2]            0.067   0.258  -0.439 -0.113  0.071  0.248  0.555 1.002  2300
rho.ph[1,3]            0.018   0.263  -0.500 -0.166  0.020  0.209  0.514 1.001  4000
rho.ph[2,3]            0.363   0.224  -0.119  0.219  0.382  0.528  0.740 1.002  2600
rho.ph[3,3]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[4,3]            0.382   0.225  -0.117  0.241  0.407  0.548  0.753 1.001  4000
rho.ph[1,4]           -0.196   0.268  -0.665 -0.397 -0.212 -0.013  0.352 1.001  4000
rho.ph[2,4]            0.067   0.258  -0.439 -0.113  0.071  0.248  0.555 1.002  2300
rho.ph[3,4]            0.382   0.225  -0.117  0.241  0.407  0.548  0.753 1.001  4000
rho.ph[4,4]            1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
sigmasq.indiv.cond     0.706   0.443   0.231  0.419  0.587  0.859  1.898 1.001  4000
sigmasq.indiv.fluor    0.889   0.580   0.277  0.511  0.725  1.089  2.439 1.001  4000
sigmasq.indiv.lftemp   0.981   0.834   0.265  0.519  0.778  1.184  2.902 1.004   910
sigmasq.indiv.photo   16.301 289.646   0.277  0.726  1.466  3.658 50.578 1.001  4000
sigmasq.indiv.trans    0.555   0.333   0.187  0.331  0.472  0.678  1.393 1.001  2900
sigmasq.photo          0.236   0.088   0.127  0.179  0.219  0.273  0.439 1.001  4000
deviance               4.156  21.093 -34.887 -9.992  3.896 17.451 46.476 1.001  4000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 222.6 and DIC = 226.7
DIC is an estimate of expected predictive error (lower deviance is better).
